IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,DC.TITLE.FILENAME ,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0003_00332,Minority Welcome 3.0,,"Duderstadt, James J.",,2015,1989-08-30,,jjd1041.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00333,NAACP Talk,,"Duderstadt, James J.",,2015,1989-09-08,,jjd1044.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00334,"NAE Meeting, 1",,"Duderstadt, James J.",,2015,1989-10-21,,jjd1045.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00335,New Faculty Welcome 3.0,,"Duderstadt, James J.",,2015,1989-08-30,,jjd1046.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00336,Newsweek notes,,"Duderstadt, James J.",,2015,1989-08-30,,jjd1047.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00337,NY Business Lunch,,"Duderstadt, James J.",,2015,1989-09-30,,jjd1049.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00338,Old Stuff,,"Duderstadt, James J.",,2015,1989-09-14,,jjd1050.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00339,Parents Orientation 3.0,,"Duderstadt, James J.",,2015,1989-08-30,,jjd1055.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00340,"Parents Weekend, 1",,"Duderstadt, James J.",,2015,1989-11-03,,jjd1056.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00341,PresClub-10/89,,"Duderstadt, James J.",,2015,1989-08-31,,jjd1058.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00342,PresClub-10/89,,"Duderstadt, James J.",,2015,1989-08-31,,jjd1063.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00343,"Press Conference 1.1, 1",,"Duderstadt, James J.",,2015,1989-12-09,,jjd1064.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00344,"Press Conference 1.1, 1",,"Duderstadt, James J.",,2015,1989-12-09,,jjd1065.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00345,"RB--Band Rehearsal, 1",,"Duderstadt, James J.",,2015,1989-12-26,,jjd1066.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00346,Response,,"Duderstadt, James J.",,2015,1989-08-25,,jjd1067.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00347,"RoseBowl (89-90), 1",,"Duderstadt, James J.",,2015,1989-11-26,,jjd1068.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00348,"sac science ed notes, 1",,"Duderstadt, James J.",,2015,1989-12-29,,jjd1069.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00349,"sac science ed notes, 1",,"Duderstadt, James J.",,2015,1989-12-29,,jjd1070.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00350,"sac science ed notes, 1",,"Duderstadt, James J.",,2015,1989-12-29,,jjd1071.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00351,"sac science ed notes, 1",,"Duderstadt, James J.",,2015,1989-12-29,,jjd1072.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00352,Semiconductor,,"Duderstadt, James J.",,2015,1989-07-16,,jjd1073.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00353,Semiconductor,,"Duderstadt, James J.",,2015,1989-07-16,,jjd1074.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00354,Semiconductor,,"Duderstadt, James J.",,2015,1989-07-16,,jjd1075.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00355,Semiconductor,,"Duderstadt, James J.",,2015,1989-07-16,,jjd1076.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00356,"State of University 2.3, 1",,"Duderstadt, James J.",,2015,1989-10-02,,jjd1077.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00357,State Plan,,"Duderstadt, James J.",,2015,1989-09-03,,jjd1078.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00358,State Plan,,"Duderstadt, James J.",,2015,1989-09-03,,jjd1079.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00359,Studies in Religion,,"Duderstadt, James J.",,2015,1989-09-16,,jjd1080.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00360,Studies in Religion,,"Duderstadt, James J.",,2015,1989-09-16,,jjd1081.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00361,TalkIdeas--9/89,,"Duderstadt, James J.",,2015,1989-09-13,,jjd1082.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00362,Taubman Conference,,"Duderstadt, James J.",,2015,1989-09-08,,jjd1083.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00363,Taubman Conference,,"Duderstadt, James J.",,2015,1989-09-08,,jjd1085.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00364,Taubman Conference,,"Duderstadt, James J.",,2015,1989-09-08,,jjd1086.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00365,Taubman Conference,,"Duderstadt, James J.",,2015,1989-09-08,,jjd1087.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00366,Taubman Conference,,"Duderstadt, James J.",,2015,1989-09-08,,jjd1088.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00367,"UGLI Dedication, 1",,"Duderstadt, James J.",,2015,1989-12-13,,jjd1089.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00368,"UGLI Dedication, 1",,"Duderstadt, James J.",,2015,1989-12-13,,jjd1090.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00369,"UGLI Dedication, 1",,"Duderstadt, James J.",,2015,1989-12-13,,jjd1091.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00370,Volunteers Strategy,,"Duderstadt, James J.",,2015,1989-09-26,,jjd1092.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00371,"AAU Welcome, 1",,"Duderstadt, James J.",,2015,1989-10-22,,jjd961.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00372,"Aerospace Dedication, 1",,"Duderstadt, James J.",,2015,1989-11-03,,jjd963.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00373,Alumni (MajorGifts),,"Duderstadt, James J.",,2015,1989-09-26,,jjd965.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00374,Alumni (Volunteers),,"Duderstadt, James J.",,2015,1989-09-26,,jjd966.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00375,Alumni (Volunteers) 2.0,,"Duderstadt, James J.",,2015,1989-09-26,,jjd967.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00376,Alumni 5.0,,"Duderstadt, James J.",,2015,1989-09-11,,jjd968.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
