ORIGINAL,uri
"Haigh, Henry A. (Henry Allyn), b. 1854.",/agents/people/9192
"Bigelow, Poultney, b.1855.",/agents/people/9193
"Mason, George D., b. 1856.",/agents/people/9194
"Mason, George DeWitt, b. 1856.",/agents/people/9195
"Newett, George A., b. 1856.",/agents/people/9196
"Rose, David S., b. 1856.",/agents/people/9197
"Levi, Moritz, b. 1857.",/agents/people/9198
"Markey, Daniel P., b. 1857.",/agents/people/9199
"McCall, Jonathan Nicholson, b. 1857.",/agents/people/9200
"Vaughan, Coleman C., 1857-",/agents/people/9201
"Walton, Genevieve Maria Julia, 1857-",/agents/people/9202
"Wood, Norman Asa, 1857-",/agents/people/9203
"Bradley, James Bray, b. 1858.",/agents/people/9204
"Campbell, Thomas E., b. 1858.",/agents/people/9205
"Fuller, Oramel B., b. 1858.",/agents/people/9206
"Kelsey, Francis W. (Francis Willey), b. 1858.",/agents/people/9207
"Rose, Henry Martin, b. 1858.",/agents/people/9208
"Whitney, Joseph H., b. 1858.",/agents/people/9209
"Wood, James C. (James Craven), b. 1858.",/agents/people/9210
"Glasgow, Cassius L., b. 1859.",/agents/people/9211
"Stair, Edward Douglas, b. 1859.",/agents/people/9212
"Stowe, Ernest A., b. 1859.",/agents/people/9213
"Thompson, Augusta Louise Rosenthal, b. 1859.",/agents/people/9214
"Wesselius, Sybrant, b. 1859.",/agents/people/9215
"Baird, John, 1860-",/agents/people/9216
"D'Ooge, Benjamin L. (Benjamin Leonard), b. 1860.",/agents/people/9217
"Kimmerle, Charles H., 1860-",/agents/people/9218
"Osborn, Chase S. (Chase Salmon), b. 1860.",/agents/people/9219
"Pearson, William J., 1860-",/agents/people/9220
"Bertch, Della Miles, 1861-",/agents/people/9221
"Davis, Charles Albert, 1861-",/agents/people/9222
"Denison, Arthur Carter, b. 1861.",/agents/people/9223
"Ferguson, William P. F. (William Porter Frisbee), b. 1861.",/agents/people/9224
"Shibley, George H. (George Henry), b. 1861.",/agents/people/9225
"Wahr, George, b. 1861.",/agents/people/9226
"Wilcox, Walter Francis, 1861-",/agents/people/9227
"Yeater, Charles Emmett, b. 1861.",/agents/people/9228
"Ainsworth, Arthur Sardius, 1862-",/agents/people/9229
"English, Albert D., 1862-",/agents/people/9230
"Prescott, George Allen, 1862-",/agents/people/9231
"Sealby, Inman, 1862-",/agents/people/9232
"Wheeler, Frederick, 1862-",/agents/people/9233
"Wright, Philo Sherman, 1862-",/agents/people/9234
"Cook, Franklin Mead, 1863-",/agents/people/9235
"Kress, Lauretta E., 1863-",/agents/people/9236
"Lane, Alfred C. (Alfred Church), b. 1863.",/agents/people/9237
"Millen, George W., b. 1863.",/agents/people/9238
"Sly, Alexander C., 1863-",/agents/people/9239
"Booth, George G. (George Gough), b. 1864.",/agents/people/9240
"Bray, Everett Lewis, 1864-",/agents/people/9241
"Buell, Lincoln E., 1864-",/agents/people/9242
"Ellis, George Edwin, 1864-",/agents/people/9243
"Hull, Charles Henry, b. 1864.",/agents/people/9244
"Leidlein, John, b. 1864.",/agents/people/9245
"Meally, John Edward, 1864-",/agents/people/9246
"Mitchell, Samuel Phillips, b. 1864.",/agents/people/9247
"Smith, Elbert V., 1864-",/agents/people/9248
