Type,Publish,Authority ID,Source,Rules,ORIGINAL,Prefix,Family Name,Dates,Qualifier
famname,TRUE,,lcnaf,,Slayton family.,,Slayton,,Family
famname,TRUE,,lcnaf,,Sligh family.,,Sligh,,Family
famname,TRUE,,lcnaf,,Smyser family,,Smyser,,Family
famname,TRUE,,lcnaf,,Spalding family.,,Spalding,,Family
famname,TRUE,,lcnaf,,Squier family.,,Squier,,Family
famname,TRUE,,lcnaf,,Stewart family,,Stewart,,Family
famname,TRUE,,lcnaf,,Stone Family,,Stone,,Family
famname,TRUE,,lcnaf,,Safford family.,,Safford,,Family
famname,TRUE,,lcnaf,,Taylor family.,,Taylor,,Family
famname,TRUE,,lcnaf,,Tinkham family,,Tinkham,,Family
famname,TRUE,,lcnaf,,Todd family.,,Todd,,Family
famname,TRUE,,lcnaf,,Tower Family,,Tower,,Family
famname,TRUE,,lcnaf,,Tuomy family.,,Tuomy,,Family
famname,TRUE,,lcnaf,,Twichell family.,,Twichell,,Family
famname,TRUE,,lcnaf,,Upjohn family.,,Upjohn,,Family
famname,TRUE,,lcnaf,,Vandenberg family.,,Vandenberg,,Family
famname,TRUE,,lcnaf,,Ward family.,,Ward,,Family
famname,TRUE,,lcnaf,,Woodruff Family Papers,,Woodruff,,Family
famname,TRUE,,lcnaf,,Ferry Family (William Montague Ferry family),,Ferry,,"Family: Ferry, William Montague, 1796-1867"
famname,TRUE,,lcnaf,,Whitehead family,,Whitehead,,Family
famname,TRUE,,lcnaf,,"Whittemore Family (Tawas City, Mich.)",,Wittemore,,"Family: Tawas City, Mich."
famname,TRUE,,lcnaf,,Williams family.,,Williams,,Family
famname,TRUE,,lcnaf,,Winegar family.,,Winegar,,Family
famname,TRUE,,lcnaf,,Wright family.,,Wright,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n83163731,lcnaf,,Sparks family.,,Sparks,,Family
famname,TRUE,,lcnaf,,Sunderland family.,,Sunderland,,Family
famname,TRUE,,lcnaf,,BanÃ©r family.,,Banér,,Family
famname,TRUE,,lcnaf,,Beach family.,,Beach,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n79054541,lcnaf,,Warden family.,,Warden,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n85170646,lcnaf,,North family.,,North,,Family
famname,TRUE,,lcnaf,,Brucker family.,,Brucker,,Family
famname,TRUE,http://id.loc.gov/authorities/names/no2009149232,lcnaf,,Buck family.,,Buck,,Family
famname,TRUE,http://id.loc.gov/authorities/names/no2005098042,lcnaf,,Buell family.,,Buell,,Family
famname,TRUE,http://id.loc.gov/authorities/names/no2010124332,lcnaf,,Cameron family.,,Cameron,,Family
famname,TRUE,,lcnaf,,Carman family.,,Carman,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n82097696,lcnaf,,Stearns family.,,Stearns,,Family
famname,TRUE,http://id.loc.gov/authorities/names/n81093636,lcnaf,,Chase family.,,Chase,,Family
