old,new
"Burrows, Julius C. (Julius Caesar), 1837-1915","Burrows, Julius C. (Julius Caesar), 1837-1915"
"Campbell, James V. (James Valentine), 1823-1890","Campbell, James V. (James Valentine), 1823-1890"
"Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944","Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944"
"Davis, R. C. (Raymond Cazallis), b. 1836","Davis, R. C. (Raymond Cazallis), b. 1836"
"Duffield, D. Bethune (Divie Bethune), 1821-1891","Duffield, D. Bethune (Divie Bethune), 1821-1891"
"Fairlie, John A. (John Archibald), 1872-1947","Fairlie, John A. (John Archibald), 1872-1947"
"Frieze, Henry S. (Henry Simmons), 1817-1889","Frieze, Henry S. (Henry Simmons), 1817-1889"
"Garfield, James A. (James Abram), 1831-1881","Garfield, James A. (James Abram), 1831-1881"
"Haven, E. O. (Erastus Otis), 1820-1881","Haven, E. O. (Erastus Otis), 1820-1881"
"Hutchins, Harry B. (Harry Burns), 1847-1930","Hutchins, Harry B. (Harry Burns), 1847-1930"
"Kelsey, Francis W. (Francis Willey), b. 1858","Kelsey, Francis W. (Francis Willey), 1858-1927"
"Spaulding, c Mr. (Oliver Lyman), 1833-1922","Spaulding, c Mr. (Oliver Lyman), 1833-1922"
"Van Zile, Philip T. (Philip Taylor), 1843-1917","Van Zile, Philip T. (Philip Taylor), 1843-1917"
"Wenley, Robert M. (Robert Mark), 1861-1929","Wenley, Robert M. (Robert Mark), 1861-1929"
"Boulding, Kenneth E. (Kenneth Ewart), 1910-1993","Boulding, Kenneth E. (Kenneth Ewart), 1910-1993"
"Douglas, William O. (William Orville), 1898-1980","Douglas, William O. (William Orville), 1898-1980"
"Hoover, J. Edgar (John Edgar), 1895-1972","Hoover, J. Edgar (John Edgar), 1895-1972"
"Humphrey, Hubert H. (Hubert Horatio), 1911-1978","Humphrey, Hubert H. (Hubert Horatio), 1911-1978"
"Little, Clarence C. (Clarence Cook), b. 1888","Little, Clarence C. (Clarence Cook), b. 1888"
"Llewellyn, Karl N. (Karl Nickerson), 1893-1962","Llewellyn, Karl N. (Karl Nickerson), 1893-1962"
"MacIver, Robert M. (Robert Morrison), 1882-1970","MacIver, Robert M. (Robert Morrison), 1882-1970"
"Tobin, Richard L. (Richard Lardner), 1910-","Tobin, Richard L. (Richard Lardner), 1910-"
"McCarthy, J. P. (Joseph Priestly), 1933-1995","McCarthy, J. P. (Joseph Priestly), 1933-1995"
"Fuller, R. Buckminster (Richard Buckminster), 1895-1983","Fuller, R. Buckminster (Richard Buckminster), 1895-1983"
"Armstrong, Arthur E. (Arthur Edward), 1884-1976","Armstrong, Arthur E. (Arthur Edward), 1884-1976"
"Armstrong, Elsa F. (Elsa Felland), 1890-","Armstrong, Elsa F. (Elsa Felland), 1890-"
"Armstrong, Elsa F. (Elsa Felland), 1890-","Armstrong, Elsa F. (Elsa Felland), 1890-"
"Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944","Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Pollock, James K. (James Kerr), 1898-1968","Pollock, James K. (James Kerr), 1898-1968"
"Atkins, Daniel E. (Daniel Ewell)","Atkins, Daniel E. (Daniel Ewell)"
"Atkins, Daniel E. (Daniel Ewell)","Atkins, Daniel E. (Daniel Ewell)"
"McMath, Robert R. (Robert Raynolds), 1891-1962","McMath, Robert R. (Robert Raynolds), 1891-1962"
"Brode, Robert B. (Robert Bigham), 1900-1986","Brode, Robert B. (Robert Bigham), 1900-1986"
"Cisler, Walker L. (Walker Lee), 1897-1994","Cisler, Walker L. (Walker Lee), 1897-1994"
"Edmondson, Frank K. (Frank Kelly), 1912-","Edmondson, Frank K. (Frank Kelly), 1912-"
"Hiltner, W. A. (William Albert), 1914-","Hiltner, W. A. (William Albert), 1914-"
"Johnson, Harold L. (Harold Lester), 1921-1980","Johnson, Harold L. (Harold Lester), 1921-1980"
"Klopsteg, Paul E. (Paul Ernest), 1889-","Klopsteg, Paul E. (Paul Ernest), 1889-"
"Mayall, N. U. (Nicholas Ulrich), 1906-1993","Mayall, N. U. (Nicholas Ulrich), 1906-1993"
"Menzel, Donald H. (Donald Howard), 1901-1976","Menzel, Donald H. (Donald Howard), 1901-1976"
"Miller, Freeman D. (Freeman Devold), 1909-2000","Miller, Freeman D. (Freeman Devold), 1909-2000"
"Whitford, Albert E. (Albert Edward), 1905-2002","Whitford, Albert E. (Albert Edward), 1905-2002"
"Bonisteel, Roscoe O. (Roscoe Osmond), b. 1888","Bonisteel, Roscoe O. (Roscoe Osmond), b. 1888"
"Osborn, Chase S. (Chase Salmon), b. 1860","Osborn, Chase S. (Chase Salmon), 1860-1949"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Axelrod, Solomon J. (Solomon Jacob), 1912-1987","Axelrod, Solomon J. (Solomon Jacob), 1912-1987"
"Axelrod, Solomon J. (Solomon Jacob), 1912-1987","Axelrod, Solomon J. (Solomon Jacob), 1912-1987"
"Baber, George W. (George Wilbur), 1898-1970","Baber, George W. (George Wilbur), 1898-1970"
"Baber, George W. (George Wilbur), 1898-1970","Baber, George W. (George Wilbur), 1898-1970"
"Baber, George W. (George Wilbur), 1898-1970","Baber, George W. (George Wilbur), 1898-1970"
"Humphrey, Hubert H. (Hubert Horatio), 1911-1978","Humphrey, Hubert H. (Hubert Horatio), 1911-1978"
"Kennedy, John F. (John Fitzgerald), 1917-1963","Kennedy, John F. (John Fitzgerald), 1917-1963"
"Rockefeller, Nelson A. (Nelson Aldrich), 1908-1979","Rockefeller, Nelson A. (Nelson Aldrich), 1908-1979"
"Backus, C. K. (Charles K.)","Backus, C. K. (Charles K.)"
"Kelsey, Francis W. (Francis Willey), b. 1858","Kelsey, Francis W. (Francis Willey), 1858-1927"
"Bricker, John W. (John William), 1893-1986","Bricker, John W. (John William), 1893-1986"
"Buck, Pearl S. (Pearl Sydenstricker), 1892-1973","Buck, Pearl S. (Pearl Sydenstricker), 1892-1973"
"Douglas, Paul H. (Paul Howard), 1892-1976","Douglas, Paul H. (Paul Howard), 1892-1976"
"Hayakawa, S. I. (Samuel Ichiy̩), 1906-","Hayakawa, S. I. (Samuel Ichiy̩), 1906-"
"Hoover, J. Edgar (John Edgar), 1895-1972","Hoover, J. Edgar (John Edgar), 1895-1972"
"Kinsey, Alfred C. (Alfred Charles), 1894-1956","Kinsey, Alfred C. (Alfred Charles), 1894-1956"
"Mencken, H. L. (Henry Louis), 1880-1956","Mencken, H. L. (Henry Louis), 1880-1956"
"Mills, C. Wright (Charles Wright), 1916-1962","Mills, C. Wright (Charles Wright), 1916-1962"
"Morse, Wayne L. (Wayne Lyman), 1900-1974","Morse, Wayne L. (Wayne Lyman), 1900-1974"
"Pollock, James K. (James Kerr), 1898-1968","Pollock, James K. (James Kerr), 1898-1968"
"Roosevelt, Franklin D. (Franklin Delano), 1882-1945","Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
"Steinman, D. B. (David Barnard), 1886-1960","Steinman, D. B. (David Barnard), 1886-1960"
"Stevenson, Adlai E. (Adlai Ewing), 1900-1965","Stevenson, Adlai E. (Adlai Ewing), 1900-1965"
"Taft, Charles P. (Charles Phelps), 1897-1983","Taft, Charles P. (Charles Phelps), 1897-1983"
"Little, Clarence C. (Clarence Cook), b. 1888","Little, Clarence C. (Clarence Cook), b. 1888"
"Baker, Burton L. (Burton Lowell), 1912-1978","Baker, Burton L. (Burton Lowell), 1912-1978"
"Baker, Burton L. (Burton Lowell), 1912-1978","Baker, Burton L. (Burton Lowell), 1912-1978"
"Baker, Henry B. (Henry Brooks), 1837-1920","Baker, Henry B. (Henry Brooks), 1837-1920"
"Baker, Henry B. (Henry Brooks), 1837-1920","Baker, Henry B. (Henry Brooks), 1837-1920"
"Cramton, Louis C. (Louis Convers), b. 1875","Cramton, Louis C. (Louis Convers), b. 1875"
"La Follette, Robert M. (Robert Marion), 1855-1925","La Follette, Robert M. (Robert Marion), 1855-1925"
"Lowden, Frank O. (Frank Orren), 1861-1943","Lowden, Frank O. (Frank Orren), 1861-1943"
"Osborn, Chase S. (Chase Salmon), b. 1860","Osborn, Chase S. (Chase Salmon), 1860-1949"
"Townsend, Charles E. (Charles Elroy), 1856-1924","Townsend, Charles E. (Charles Elroy), 1856-1924"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Balch, Nathaniel A. (Nathaniel Aldrich), 1808-1894","Balch, Nathaniel A. (Nathaniel Aldrich), 1808-1894"
"Bald, F. Clever (Frederick Clever), 1897-1970","Bald, F. Clever (Frederick Clever), 1897-1970"
"Bald, F. Clever (Frederick Clever), 1897-1970","Bald, F. Clever (Frederick Clever), 1897-1970"
"Bald, F. Clever (Frederick Clever), 1897-1970","Bald, F. Clever (Frederick Clever), 1897-1970"
