old,new
"Fleming, R. W. (Robben Wright), 1916-2010","Fleming, R. W. (Robben Wright), 1916-2010"
"Mann, Richard D. (Richard Dewey), 1933-","Mann, Richard D. (Richard Dewey), 1933-"
"Swainson, John B. (John Burley), 1925-1994","Swainson, John B. (John Burley), 1925-1994"
"Swainson, John B. (John Burley), 1925-1994","Swainson, John B. (John Burley), 1925-1994"
"Connable, Alfred B. (Alfred Barnes), 1904-","Connable, Alfred B. (Alfred Barnes), 1904-"
"Connable, Alfred B. (Alfred Barnes), 1904-","Connable, Alfred B. (Alfred Barnes), 1904-"
"Willkie, Wendell L. (Wendell Lewis), 1892-1944","Willkie, Wendell L. (Wendell Lewis), 1892-1944"
"Connable, Alfred B. (Alfred Barnes), 1904-","Connable, Alfred B. (Alfred Barnes), 1904-"
"Hart, Philip A. (Philip Aloysius), 1912-1976","Hart, Philip A. (Philip Aloysius), 1912-1976"
"Griffin, Robert P. (Robert Paul), 1923-2015","Griffin, Robert P. (Robert Paul), 1923-2015"
"Willkie, Wendell L. (Wendell Lewis), 1892-1944","Willkie, Wendell L. (Wendell Lewis), 1892-1944"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Boulding, Kenneth E. (Kenneth Ewart), 1910-1993","Boulding, Kenneth E. (Kenneth Ewart), 1910-1993"
"Singer, J. David (Joel David), 1925-2009","Singer, J. David (Joel David), 1925-2009"
"Burrows, Julius C. (Julius Caesar), 1837-1915","Burrows, Julius C. (Julius Caesar), 1837-1915"
"Cramton, Louis C. (Louis Convers), b. 1875","Cramton, Louis C. (Louis Convers), b. 1875"
"Dillman, Grover C. (Grover Cleveland), 1889-1979","Dillman, Grover C. (Grover Cleveland), 1889-1979"
"Fitzgerald, Frank Dwight, 1885-1939","Fitzgerald, Frank D. (Frank Dwight), 1885-1939"
"Fordney, Joseph W. (Joseph Warren), 1853-1932","Fordney, Joseph W. (Joseph Warren), 1853-1932"
"Fuller, George N. (George Newman), 1873-1957","Fuller, George N. (George Newman), 1873-1957"
"Hays, Will H. (Will Harrison), 1879-1954","Hays, Will H. (Will Harrison), 1879-1954"
"Hitchcock, Frank H. (Frank Harris), 1867-1935","Hitchcock, Frank H. (Frank Harris), 1867-1935"
"Landon, Alfred M. (Alfred Mossman), 1887-1987","Landon, Alfred M. (Alfred Mossman), 1887-1987"
"Osborn, Chase S. (Chase Salmon), b. 1860","Osborn, Chase S. (Chase Salmon), 1860-1949"
"Sawyer, Walter H. (Walter Hulme), 1861-1931","Sawyer, Walter H. (Walter Hulme), 1861-1931"
"Shafer, Paul W. (Paul Werntz), 1893-1954","Shafer, Paul W. (Paul Werntz), 1893-1954"
"Taft, William H. (William Howard), 1857-1930","Taft, William H. (William Howard), 1857-1930"
"Townsend, Charles E. (Charles Elroy), 1856-1924","Townsend, Charles E. (Charles Elroy), 1856-1924"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Bernard, L. L. (Luther Lee), 1881-1951","Bernard, L. L. (Luther Lee), 1881-1951"
"Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944","Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944"
"Osborn, Chase S. (Chase Salmon), b. 1860","Osborn, Chase S. (Chase Salmon), 1860-1949"
"Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944","Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944"
"Waddell, J. A. L. (John Alexander Low), 1854-1938","Waddell, J. A. L. (John Alexander Low), 1854-1938"
"Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944","Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944"
"Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944","Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944"
"Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944","Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944"
"Coombs, Clyde H. (Clyde Hamilton), 1912-1988","Coombs, Clyde H. (Clyde Hamilton), 1912-1988"
"Copeland, Royal S. (Royal Samuel), 1868-1938","Copeland, Royal S. (Royal Samuel), 1868-1938"
"Copeland, Royal S. (Royal Samuel), 1868-1938","Copeland, Royal S. (Royal Samuel), 1868-1938"
"Roosevelt, Franklin D. (Franklin Delano), 1882-1945","Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
"Copeland, Royal S. (Royal Samuel), 1868-1938","Copeland, Royal S. (Royal Samuel), 1868-1938"
"Lindbergh, Charles A. (Charles Augustus), 1902-1974","Lindbergh, Charles A. (Charles Augustus), 1902-1974"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Coughlin, Charles E. (Charles Coughlin), 1891-1979","Coughlin, Charles E. (Charles Edward), 1891-1979"
"Coughlin, Charles E. (Charles Coughlin), 1891-1979","Coughlin, Charles E. (Charles Edward), 1891-1979"
"Crafts, Edward C. (Edward Clayton), 1910-","Crafts, Edward C. (Edward Clayton), 1910-"
"Cramton, Louis C. (Louis Convers), b. 1875","Cramton, Louis C. (Louis Convers), b. 1875"
"Cramton, Louis C. (Louis Convers), b. 1875","Cramton, Louis C. (Louis Convers), b. 1875"
"Debs, Eugene V. (Eugene Victor), 1855-1926","Debs, Eugene V. (Eugene Victor), 1855-1926"
"Cramton, Louis C. (Louis Convers), b. 1875","Cramton, Louis C. (Louis Convers), b. 1875"
"Albright, Horace M. (Horace Marden), 1890-1987","Albright, Horace M. (Horace Marden), 1890-1987"
"Johnson, Mordecai W. (Mordecai Wyatt), 1890-1976","Johnson, Mordecai W. (Mordecai Wyatt), 1890-1976"
"Mellon, Andrew W. (Andrew William), 1855-1939","Mellon, Andrew W. (Andrew William), 1855-1939"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Oxnam, G. Bromley (Garfield Bromley), 1891-1963","Oxnam, G. Bromley (Garfield Bromley), 1891-1963"
"Pike, James A. (James Albert), 1913-1969","Pike, James A. (James Albert), 1913-1969"
"Crane, H. R. (Horace Richard), 1907-","Crane, H. R. (Horace Richard), 1907-2007"
"Crane, H. R. (Horace Richard), 1907-2007","Crane, H. R. (Horace Richard), 1907-2007"
"Crane, H. R. (Horace Richard), 1907-2007","Crane, H. R. (Horace Richard), 1907-2007"
"Boyd, Julian P. (Julian Parks), 1903-1980","Boyd, Julian P. (Julian Parks), 1903-1980"
"Crane, Ronald S. (Ronald Salmon), 1886-1967","Crane, Ronald S. (Ronald Salmon), 1886-1967"
"Humphreys, R. A. (Robert Arthur), 1907-1999","Humphreys, R. A. (Robert Arthur), 1907-1999"
"Wroth, Lawrence C. (Lawrence Counselman), 1884-1970","Wroth, Lawrence C. (Lawrence Counselman), 1884-1970"
"Aldrich, Nelson W. (Nelson Wilmarth), 1841-1915","Aldrich, Nelson W. (Nelson Wilmarth), 1841-1915"
"Duffield, D. Bethune (Divie Bethune), 1821-1891","Duffield, D. Bethune (Divie Bethune), 1821-1891"
"Bentley, Alvin M. (Alvin Morell), 1918-1969","Bentley, Alvin M. (Alvin Morell), 1918-1969"
"Bennett, John B. (John Bonifas), 1905-1964","Bennett, John B. (John Bonifas), 1905-1964"
"Shafer, Paul W. (Paul Werntz), 1893-1954","Shafer, Paul W. (Paul Werntz), 1893-1954"
"Hall, Leonard W. (Leonard Wood), 1900-1979","Hall, Leonard W. (Leonard Wood), 1900-1979"
"Hoover, J. Edgar (John Edgar), 1895-1972","Hoover, J. Edgar (John Edgar), 1895-1972"
"Malcolm, George A. (George Arthur), 1881-1961","Malcolm, George A. (George Arthur), 1881-1961"
"Crawford, Richard (1935- )","Crawford, Richard (1935- )"
"Crisler, H. O. (Herbert Orin), 1899-1982","Crisler, H. O. (Herbert Orin), 1899-1982"
"Crisler, H. O. (Herbert Orin), 1899-1982","Crisler, H. O. (Herbert Orin), 1899-1982"
"D'Ooge, Benjamin L. (Benjamin Leonard), b. 1860","D'Ooge, Benjamin L. (Benjamin Leonard), b. 1860"
"Drake, Joseph H. (Joseph Horace), 1860-1947","Drake, Joseph H. (Joseph Horace), 1860-1947"
"Kelsey, Francis W. (Francis Willey), 1858-1927","Kelsey, Francis W. (Francis Willey), 1858-1927"
"Ericksen, Stanford C. (Stanford Clark), 1911-","Ericksen, Stanford C. (Stanford Clark), 1911-"
"Herrick, C. Judson (Charles Judson), 1868-1960","Herrick, C. Judson (Charles Judson), 1868-1960"
"Barbour, Levi L. (Levi Lewis), 1840-1925","Barbour, Levi L. (Levi Lewis), 1840-1925"
"Beal, Junius E. (Junius Emery), 1860-1942","Beal, Junius E. (Junius Emery), 1860-1942"
"Bromage, Arthur W. (Arthur Watson), 1904-1979","Bromage, Arthur W. (Arthur Watson), 1904-1979"
"Chapin, Roy D. (Roy Dikeman), 1880-1936","Chapin, Roy D. (Roy Dikeman), 1880-1936"
"Clements, William L. (William Lawrence), 1861-1934","Clements, William L. (William Lawrence), 1861-1934"
"Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944","Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944"
"Cushny, Arthur R. (Arthur Robertson), 1866-1926","Cushny, Arthur R. (Arthur Robertson), 1866-1926"
"Fairlie, John A. (John Archibald), 1872-1947","Fairlie, John A. (John Archibald), 1872-1947"
"Fuller, George N. (George Newman), 1873-1957","Fuller, George N. (George Newman), 1873-1957"
"Gale, Esson M. (Esson McDowell), 1884-1964","Gale, Esson M. (Esson McDowell), 1884-1964"
"Goddard, Edwin C. (Edwin Charles), 1865-1942","Goddard, Edwin C. (Edwin Charles), 1865-1942"
"Hamilton, George L. (George Livingstone), 1874-1940","Hamilton, George L. (George Livingstone), 1874-1940"
"Harris, Thomas L. (Thomas Le Grand), 1863-1941","Harris, Thomas L. (Thomas Le Grand), 1863-1941"
"Hubbard, Lucius L. (Lucius Lee), 1849-1933","Hubbard, Lucius L. (Lucius Lee), 1849-1933"
"Hutchins, Harry B. (Harry Burns), 1847-1930","Hutchins, Harry B. (Harry Burns), 1847-1930"
"Kelsey, Francis W. (Francis Willey), b. 1858","Kelsey, Francis W. (Francis Willey), 1858-1927"
"Little, Clarence C. (Clarence Cook), b. 1888","Little, Clarence C. (Clarence Cook), b. 1888"
"Lloyd, Alfred H. (Alfred Henry), 1864-1927","Lloyd, Alfred H. (Alfred Henry), 1864-1927"
"Lombard, Warren P. (Warren Plimpton), 1855-1939","Lombard, Warren P. (Warren Plimpton), 1855-1939"
"McLaughlin, Lois T. (Lois Thompson)","McLaughlin, Lois T. (Lois Thompson)"
"Michener, Earl C. (Earl Cory), 1876-1957","Michener, Earl C. (Earl Cory), 1876-1957"
"Osborn, Chase S. (Chase Salmon), b. 1860","Osborn, Chase S. (Chase Salmon), 1860-1949"
"Patterson, George W. (George Washington), 1864-1930","Patterson, George W. (George Washington), 1864-1930"
"Paxson, Frederic L. (Frederic Logan), 1877-1948","Paxson, Frederic L. (Frederic Logan), 1877-1948"
"Pillsbury, W. B. (Walter Bowers), 1872-1960","Pillsbury, W. B. (Walter Bowers), 1872-1960"
"Sawyer, Walter H. (Walter Hulme), 1861-1931","Sawyer, Walter H. (Walter Hulme), 1861-1931"
"Slosson, Preston W. (Preston William), 1892-1984","Slosson, Preston W. (Preston William), 1892-1984"
"Spaulding, Thomas M. (Thomas Marshall), b. 1882","Spaulding, Thomas M. (Thomas Marshall), 1882-1973"
"Stanley, Albert A. (Albert Augustus), 1851-1932","Stanley, Albert A. (Albert Augustus), 1851-1932"
"Tatlock, John S. P. (John Strong Perry), 1876-1948","Tatlock, John S. P. (John Strong Perry), 1876-1948"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Wenley, R. M. (Robert Mark), 1861-1929","Wenley, R. M. (Robert Mark), 1861-1929"
"Smith, Charles S. (Charles Spencer), Jr","Smith, Charles S. (Charles Spencer), Jr"
"Fleming, R. W. (Robben Wright), 1916-2010","Fleming, R. W. (Robben Wright), 1916-2010"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Pond, Irving K. (Irving Kane), 1857-1939","Pond, Irving K. (Irving Kane), 1857-1939"
"Bentley, Alvin M. (Alvin Morell), 1918-1969","Bentley, Alvin M. (Alvin Morell), 1918-1969"
"Collingwood, Herbert W. (Herbert Winslow), 1857-1927","Collingwood, Herbert W. (Herbert Winslow), 1857-1927"
"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963","Du Bois, W. E. B. (William Edward Burghardt), 1868-1963"
"Hubbs, Carl L. (Carl Leavitt), 1894-1979","Hubbs, Carl L. (Carl Leavitt), 1894-1979"
"Mayer, Louis B. (Louis Burt), 1885-1957","Mayer, Louis B. (Louis Burt), 1885-1957"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Brown, Prentiss M. (Prentiss Marsh), 1889-1973","Brown, Prentiss M. (Prentiss Marsh), 1889-1973"
"Emrich, Richard S. M. (Richard Stanley Merrill), 1910-","Emrich, Richard S. M. (Richard Stanley Merrill), 1910-"
"Marshall, S. L. A. (Samuel Lyman Atwood), 1900-1977","Marshall, S. L. A. (Samuel Lyman Atwood), 1900-1977"
"Pollock, James K. (James Kerr), 1898-1968","Pollock, James K. (James Kerr), 1898-1968"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Clapp, Earle H. (Earle Hart), 1877-1970","Clapp, Earle H. (Earle Hart), 1877-1970"
"Cohen, Wilbur J. (Wilbur Joseph), 1913-1987","Cohen, Wilbur J. (Wilbur Joseph), 1913-1987"
"Crafts, Edward C. (Edward Clayton), 1910-","Crafts, Edward C. (Edward Clayton), 1910-"
"McArdle, Richard E. (Richard Edwin), 1899-1983","McArdle, Richard E. (Richard Edwin), 1899-1983"
"Taft, Charles P. (Charles Phelps), 1897-1983","Taft, Charles P. (Charles Phelps), 1897-1983"
"Vaux, Henry J. (Henry James), 1912-2000","Vaux, Henry J. (Henry James), 1912-2000"
"Dancy, John C. (John Campbell), 1888-1968","Dancy, John C. (John Campbell), 1888-1968"
"Dancy, John C. (John Campbell), 1888-1968","Dancy, John C. (John Campbell), 1888-1968"
"Davenport, Fred M. (Fred Marshall), 1914-1982","Davenport, Fred M. (Fred Marshall), 1914-1982"
"Spectorsky, A. C. (Auguste C.), 1910-1972","Spectorsky, A. C. (Auguste C.), 1910-1972"
"Davis, Kenneth P. (Kenneth Pickett), 1906-","Davis, Kenneth P. (Kenneth Pickett), 1906-"
"Davis, Kenneth P. (Kenneth Pickett), 1906-","Davis, Kenneth P. (Kenneth Pickett), 1906-"
"Davis, R. C. (Raymond Cazallis), b. 1836","Davis, R. C. (Raymond Cazallis), b. 1836"
"Davis, R. C. (Raymond Cazallis), b. 1836","Davis, R. C. (Raymond Cazallis), b. 1836"
"Alger, R. A. (Russell Alexander), 1836-1907","Alger, R. A. (Russell Alexander), 1836-1907"
"Frieze, Henry S. (Henry Simmons), 1817-1889","Frieze, Henry S. (Henry Simmons), 1817-1889"
"Cole, G. D. H. (George Douglas Howard), 1889-1959","Cole, G. D. H. (George Douglas Howard), 1889-1959"
"Sulzberger, C. L. (Cyrus Leo), 1912-1993","Sulzberger, C. L. (Cyrus Leo), 1912-1993"
"Cole, G. D. H. (George Douglas Howard), 1889-1959","Cole, G. D. H. (George Douglas Howard), 1889-1959"
"Deakin, F. W. (Frederick William), 1913-2005","Deakin, F. W. (Frederick William), 1913-2005"
"Shirer, William L. (William Lawrence), 1904-1993","Shirer, William L. (William Lawrence), 1904-1993"
"Sulzberger, C. L. (Cyrus Leo), 1912-1993","Sulzberger, C. L. (Cyrus Leo), 1912-1993"
"DeHaan, M. R. (Martin Ralph), 1891-1965","DeHaan, M. R. (Martin Ralph), 1891-1965"
"DeHaan, M. R. (Martin Ralph), 1891-1965","DeHaan, M. R. (Martin Ralph), 1891-1965"
"Kelly, Harry F. (Harry Francis), 1895-1971","Kelly, Harry F. (Harry Francis), 1895-1971"
"Osborn, Chase S. (Chase Salmon), b. 1860","Osborn, Chase S. (Chase Salmon), 1860-1949"
"Clements, William L. (William Lawrence), 1861-1934","Clements, William L. (William Lawrence), 1861-1934"
"Hinsdale, B. A. (Burke Aaron), 1837-1900","Hinsdale, B. A. (Burke Aaron), 1837-1900"
"Joy, James F. (James Frederick), 1810-1896","Joy, James F. (James Frederick), 1810-1896"
"Swainson, John B. (John Burley), 1925-1994","Swainson, John B. (John Burley), 1925-1994"
"Humphrey, Hubert H. (Hubert Horatio), 1911-1978","Humphrey, Hubert H. (Hubert Horatio), 1911-1978"
"Humphrey, Hubert H. (Hubert Horatio), 1911-1978","Humphrey, Hubert H. (Hubert Horatio), 1911-1978"
"Farnum, Billie S. (Billie Sunday), 1916-","Farnum, Billie S. (Billie Sunday), 1916-"
"Hare, James M. (James McNeil), 1910-1980","Hare, James M. (James McNeil), 1910-1980"
"Harriman, W. Averell (William Averell), 1891-1986","Harriman, W. Averell (William Averell), 1891-1986"
"Hart, Philip A. (Philip Aloysius), 1912-1976","Hart, Philip A. (Philip Aloysius), 1912-1976"
"Keith, Damon J. (Damon Jerome), 1922-","Keith, Damon J. (Damon Jerome), 1922-"
"Rostow, W. W. (Walt Whitman), 1916-2003","Rostow, W. W. (Walt Whitman), 1916-2003"
"Swainson, John B. (John Burley), 1925-1994","Swainson, John B. (John Burley), 1925-1994"
"Collins, John J. (John Joseph), 1935-","Collins, John J. (John Joseph), 1935-"
"Farnum, Billie S. (Billie Sunday), 1916-","Farnum, Billie S. (Billie Sunday), 1916-"
"Van Raalte, Albertus C. (Albertus Christiaan), 1811-1876","Van Raalte, Albertus C. (Albertus Christiaan), 1811-1876"
"Osborn, Chase S. (Chase Salmon), b. 1860","Osborn, Chase S. (Chase Salmon), 1860-1949"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Dennison, David M. (David Mathias), 1900-1976","Dennison, David M. (David Mathias), 1900-1976"
"Dennison, David M. (David Mathias), 1900-1976","Dennison, David M. (David Mathias), 1900-1976"
"Dennison, David M. (David Mathias), 1900-1976","Dennison, David M. (David Mathias), 1900-1976"
"Taft, J. (Jonathan), 1820-1903","Taft, J. (Jonathan), 1820-1903"
"Griffin, James B. (James Bennett), 1905-1997","Griffin, James B. (James Bennett), 1905-1997"
"Guthe, Carl E. (Carl Eugen), 1893-1974","Guthe, Carl E. (Carl Eugen), 1893-1974"
"Jonkman, Bartel J. (Bartel John), 1884-1955","Jonkman, Bartel J. (Bartel John), 1884-1955"
"Michener, Earl C. (Earl Cory), 1876-1957","Michener, Earl C. (Earl Cory), 1876-1957"
"Osborn, Chase S. (Chase Salmon), b. 1860","Osborn, Chase S. (Chase Salmon), 1860-1949"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Swainson, John B. (John Burley), 1925-1994","Swainson, John B. (John Burley), 1925-1994"
"Chapman, Oscar L. (Oscar Littleton), 1896-1978","Chapman, Oscar L. (Oscar Littleton), 1896-1978"
"Kelly, Harry F. (Harry Francis), 1895-1971","Kelly, Harry F. (Harry Francis), 1895-1971"
"Albright, Horace M. (Horace Marden), 1890-1987","Albright, Horace M. (Horace Marden), 1890-1987"
"Cammerer, Arno B. (Arno Berthold), b. 1883","Cammerer, Arno B. (Arno Berthold), b. 1883"
"Chapman, Oscar L. (Oscar Littleton), 1896-1978","Chapman, Oscar L. (Oscar Littleton), 1896-1978"
"Cramton, Louis C. (Louis Convers), b. 1875","Cramton, Louis C. (Louis Convers), b. 1875"
"Ferguson, William P. F. (William Porter Frisbee), b. 1861","Ferguson, William P. F. (William Porter Frisbee), b. 1861"
"Ickes, Harold L. (Harold LeClair), 1874-1952","Ickes, Harold L. (Harold LeClair), 1874-1952"
"Kelly, Harry F. (Harry Francis), 1895-1971","Kelly, Harry F. (Harry Francis), 1895-1971"
"Mershon, Wm. B. (William Butts), 1856-1943","Mershon, Wm. B. (William Butts), 1856-1943"
"Osborn, Chase S. (Chase Salmon), b. 1860","Osborn, Chase S. (Chase Salmon), 1860-1949"
"Townsend, Charles E. (Charles Elroy), 1856-1924","Townsend, Charles E. (Charles Elroy), 1856-1924"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Wilbur, Ray L. (Ray Lyman), 1875-1949","Wilbur, Ray L. (Ray Lyman), 1875-1949"
"Booth, George G. (George Gough), 1864-1949","Booth, George G. (George Gough), 1864-1949"
"Scripps, James E. (James Edmund), 1835-1906","Scripps, James E. (James Edmund), 1835-1906"
"Griffin, Robert P. (Robert Paul), 1923-2015","Griffin, Robert P. (Robert Paul), 1923-2015"
"Dickinson, Z. Clark (Zenas Clark), 1889-","Dickinson, Z. Clark (Zenas Clark), 1889-"
"Taylor, F. M. (Fred Manville), 1855-1932","Taylor, F. M. (Fred Manville), 1855-1932"
"Boulding, Kenneth E. (Kenneth Ewart), 1910-1993","Boulding, Kenneth E. (Kenneth Ewart), 1910-1993"
"Douglas, Paul H. (Paul Howard), 1892-1976","Douglas, Paul H. (Paul Howard), 1892-1976"
"Morton, Thruston B. (Thruston Ballard), 1907-1982","Morton, Thruston B. (Thruston Ballard), 1907-1982"
"Nixon, Richard M. (Richard Milhous), 1913-1994","Nixon, Richard M. (Richard Milhous), 1913-1994"
"Doll, Louis Wm. (Louis William), 1911-","Doll, Louis Wm. (Louis William), 1911-"
"Doll, Louis Wm. (Louis William), 1911-","Doll, Louis Wm. (Louis William), 1911-"
"Doll, Louis Wm. (Louis William), 1911-","Doll, Louis Wm. (Louis William), 1911-"
"Donahue, Wilma T. (Wilma Thompson), 1900-","Donahue, Wilma T. (Wilma Thompson), 1900-"
"Donahue, Wilma T. (Wilma Thompson), 1900-","Donahue, Wilma T. (Wilma Thompson), 1900-"
"Donahue, Wilma T. (Wilma Thompson), 1900-","Donahue, Wilma T. (Wilma Thompson), 1900-"
"Donner, Frederic G. (Frederic Garrett), 1902-1987","Donner, Frederic G. (Frederic Garrett), 1902-1987"
"Donner, Frederic G. (Frederic Garrett), 1902-1987","Donner, Frederic G. (Frederic Garrett), 1902-1987"
"Donner, Frederic G. (Frederic Garrett), 1902-1987","Donner, Frederic G. (Frederic Garrett), 1902-1987"
"Dorr, Harold M. (Harold McVicar), b. 1897","Dorr, Harold M. (Harold McVicar), b. 1897"
"Dorr, Harold M. (Harold McVicar), b. 1897","Dorr, Harold M. (Harold McVicar), b. 1897"
"Douglas, Lloyd C. (Lloyd Cassel), 1877-1951","Douglas, Lloyd C. (Lloyd Cassel), 1877-1951"
"Douglas, Lloyd C. (Lloyd Cassel), 1877-1951","Douglas, Lloyd C. (Lloyd Cassel), 1877-1951"
"Goddard, Edwin C. (Edwin Charles), 1865-1942","Goddard, Edwin C. (Edwin Charles), 1865-1942"
"Roosevelt, Franklin D. (Franklin Delano), 1882-1945","Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
"Douglas, Lloyd C. (Lloyd Cassel), 1877-1951","Douglas, Lloyd C. (Lloyd Cassel), 1877-1951"
"Buck, Pearl S. (Pearl Sydenstricker), 1892-1973","Buck, Pearl S. (Pearl Sydenstricker), 1892-1973"
"DeMille, Cecil B. (Cecil Blount), 1881-1959","DeMille, Cecil B. (Cecil Blount), 1881-1959"
"Dewey, Thomas E. (Thomas Edmund), 1902-1971","Dewey, Thomas E. (Thomas Edmund), 1902-1971"
"Hoover, J. Edgar (John Edgar), 1895-1972","Hoover, J. Edgar (John Edgar), 1895-1972"
"Shirer, William L. (William Lawrence), 1904-1993","Shirer, William L. (William Lawrence), 1904-1993"
"Taft, Robert A. (Robert Alphonso), 1889-1953","Taft, Robert A. (Robert Alphonso), 1889-1953"
"Wilgus, Horace L. (Horace La Fayette), 1859-1935","Wilgus, Horace L. (Horace La Fayette), 1859-1935"
"Willkie, Wendell L. (Wendell Lewis), 1892-1944","Willkie, Wendell L. (Wendell Lewis), 1892-1944"
"Douglas, Silas H. (Silas Hamilton), 1816-1890","Douglas, Silas H. (Silas Hamilton), 1816-1890"
"Campbell, James V. (James Valentine), 1823-1890","Campbell, James V. (James Valentine), 1823-1890"
"Douglas, Silas H. (Silas Hamilton), 1816-1890","Douglas, Silas H. (Silas Hamilton), 1816-1890"
"Walker, Henry N. (Henry Nelson), 1811-1886","Walker, Henry N. (Henry Nelson), 1811-1886"
"Beal, Junius E. (Junius Emery), 1860-1942","Beal, Junius E. (Junius Emery), 1860-1942"
"Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944","Cooley, Mortimer E. (Mortimer Elwyn), 1855-1944"
"Gale, Esson M. (Esson McDowell), 1884-1964","Gale, Esson M. (Esson McDowell), 1884-1964"
"Jameson, J. Franklin (John Franklin), 1859-1937","Jameson, J. Franklin (John Franklin), 1859-1937"
"Swainson, John B. (John Burley), 1925-1994","Swainson, John B. (John Burley), 1925-1994"
"Fraser, Douglas A. (Douglas Andrew), 1916-2008","Fraser, Douglas A. (Douglas Andrew), 1916-2008"
"Dow, William G. (William Gould), 1895-","Dow, William G. (William Gould), 1895-1999"
"Dow, William G. (William Gould), 1895-1999","Dow, William G. (William Gould), 1895-1999"
"Dow, William G. (William Gould), 1895-1999","Dow, William G. (William Gould), 1895-1999"
"Bruce, James D. (James Deacon), 1872-1946","Bruce, James D. (James Deacon), 1872-1946"
"Sawyer, Ralph A. (Ralph Alanson), 1895-1978","Sawyer, Ralph A. (Ralph Alanson), 1895-1978"
"Emery, James A. (James Augustan), 1876-1955","Emery, James A. (James Augustan), 1876-1955"
"Wagner, Robert F. (Robert Ferdinand), 1910-1991","Wagner, Robert F. (Robert Ferdinand), 1910-1991"
"Duff, Ivan F. (1915-1994)","Duff, Ivan F. (1915-1994)"
"Drake, Joseph H. (Joseph Horace), 1860-1947","Drake, Joseph H. (Joseph Horace), 1860-1947"
"Kelsey, Francis W. (Francis Willey), 1858-1927","Kelsey, Francis W. (Francis Willey), 1858-1927"
"Wenley, R. M. (Robert Mark), 1861-1929","Wenley, R. M. (Robert Mark), 1861-1929"
"Fleming, R. W. (Robben Wright), 1916-2010","Fleming, R. W. (Robben Wright), 1916-2010"
"Dancy, John C. (John Campbell), 1888-1968","Dancy, John C. (John Campbell), 1888-1968"
"Dancy, John C. (John Campbell), 1888-1968","Dancy, John C. (John Campbell), 1888-1968"
"Townsend, Charles E. (Charles Elroy), 1856-1924","Townsend, Charles E. (Charles Elroy), 1856-1924"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Early, John C. (John Chrysostom), 1878-1932","Early, John C. (John Chrysostom), 1878-1932"
"Early, John C. (John Chrysostom), 1878-1932","Early, John C. (John Chrysostom), 1878-1932"
"Early, John C. (John Chrysostom), 1878-1932","Early, John C. (John Chrysostom), 1878-1932"
"Early, Willa R. (Willa Rhodes), 1883-","Early, Willa R. (Willa Rhodes), 1883-"
"Easlick, Kenneth A. (Kenneth Alexander), 1893-1979","Easlick, Kenneth A. (Kenneth Alexander), 1893-1979"
"Easlick, Kenneth A. (Kenneth Alexander), 1893-1979","Easlick, Kenneth A. (Kenneth Alexander), 1893-1979"
