"2015-11-25T13:46:40; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1435.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1435_bhl-017de9ce.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:41; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1436.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1436_bhl-7c49d574.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:42; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1452.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1452_bhl-acf4a721.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:43; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1455.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1455_bhl-6db4e63a.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:45; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1456.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1456_bhl-e703a0c5.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:46; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1458.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1458_bhl-34743234.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:47; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1459.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1459_bhl-edd9061b.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:48; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1463.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1463_bhl-957f880e.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:49; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1472.doc""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1472_bhl-40f03a01.docx; Microsoft Office File Converter; "
"2015-11-25T13:46:52; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1508.xls""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1508_bhl-6c465203.xlsx; Microsoft Office File Converter; "
"2015-11-25T13:46:54; ""Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1509.xls""; Z:\unprocessed\9811_0003\data\Speeches\JJDS9b\jjd1509_bhl-8fe35ac3.xlsx; Microsoft Office File Converter; "
