IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,DC.TITLE.FILENAME,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0003_0218,"Inaug Stu Picnic, 1",,"Duderstadt, James J.",,2015,10/5/1988,,Speeches-JJDS3a-jjd886.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0219,Inauguration 1.2,,"Duderstadt, James J.",,2015,9/16/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd887.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0221,"Inauguration 1.9S, 1",,"Duderstadt, James J.",,2015,10/5/1988,,Speeches-JJDS3a-jjd889.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0222,"Inauguration Remarks List, 1",,"Duderstadt, James J.",,2015,10/2/1988,,Speeches-JJDS3a-jjd890.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0223,Investments,,"Duderstadt, James J.",,2015,9/12/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd894.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0224,Lead Network 1.1,,"Duderstadt, James J.",,2015,9/22/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd897.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0225,"Lead Network 1.2, 1",,"Duderstadt, James J.",,2015,10/16/1988,,Speeches-JJDS3a-jjd898.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0226,"Lead Network 1.3, 1",,"Duderstadt, James J.",,2015,11/27/1988,,Speeches-JJDS3a-jjd899.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0227,"Lead Network Talk 1.3, 1",,"Duderstadt, James J.",,2015,11/27/1988,,Speeches-JJDS3a-jjd900.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0228,"Legislative Luncheon, 1",,"Duderstadt, James J.",,2015,10/2/1988,,Speeches-JJDS3a-jjd902.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0229,Legislature,,"Duderstadt, James J.",,2015,8/24/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd903.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0230,"Medical Center Reception, 1",,"Duderstadt, James J.",,2015,10/16/1988,,Speeches-JJDS3a-jjd905.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0231,"Medical Education, 1",,"Duderstadt, James J.",,2015,11/20/1988,,Speeches-JJDS3a-jjd906.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0232,Michigan 2.4,,"Duderstadt, James J.",,2015,8/24/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd907.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0233,Michigan Mandate 1.4,,"Duderstadt, James J.",,2015,9/23/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd908.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0234,"New Detroit, 1",,"Duderstadt, James J.",,2015,11/1/1988,,Speeches-JJDS3a-jjd917.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0235,"New Detroit Presentation, 1",,"Duderstadt, James J.",,2015,11/4/1988,,Speeches-JJDS3a-jjd918.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0236,New Faculty Welcome 2.1,,"Duderstadt, James J.",,2015,8/14/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd919.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0237,New Faculty Welcome 2.1S,,"Duderstadt, James J.",,2015,9/8/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd920.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0238,Opening,,"Duderstadt, James J.",,2015,6/9/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd922.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0239,Parents Orientation 2.0,,"Duderstadt, James J.",,2015,8/14/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd923.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0240,Pres Club,,"Duderstadt, James J.",,2015,9/21/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd929.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0241,Prez Fall Weekend 9/23-24,,"Duderstadt, James J.",,2015,9/21/1988,,Prez Fall Weekend 9?23-24 | Speeches-JJDS3a-jjd931.pdf,Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0242,Rackham 50th,,"Duderstadt, James J.",,2015,9/23/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd932.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0243,Rackham 50th 1.4,,"Duderstadt, James J.",,2015,9/23/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd933.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0245,"Rose Bowl-1989, 1",,"Duderstadt, James J.",,2015,12/27/1988,,Speeches-JJDS3a-jjd937.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0246,"Speech Topics, 1",,"Duderstadt, James J.",,2015,10/28/1988,,Speeches-JJDS3a-jjd940.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0247,State of the University,,"Duderstadt, James J.",,2015,8/23/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd941.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0248,State of U 1.2,,"Duderstadt, James J.",,2015,9/23/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd942.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0249,State of U 1.4,,"Duderstadt, James J.",,2015,9/23/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd943.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0250,State of U 1.8,,"Duderstadt, James J.",,2015,9/30/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd944.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0251,State of U-MS,,"Duderstadt, James J.",,2015,9/15/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd945.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0252,Student Inaug Address,,"Duderstadt, James J.",,2015,8/25/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd946.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0253,Student Inaug Address 1.1,,"Duderstadt, James J.",,2015,8/25/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd947.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0254,"Student Inaug Address 1.5, 1",,"Duderstadt, James J.",,2015,10/2/1988,,Speeches-JJDS3a-jjd948.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0256,"Talk List, 1",,"Duderstadt, James J.",,2015,10/31/1988,,Speeches-JJDS3a-jjd951.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0257,"Talks 10/17/88, 1",,"Duderstadt, James J.",,2015,10/17/1988,,Speeches-JJDS3a-jjd952.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0258,UG Ed 1.8,,"Duderstadt, James J.",,2015,9/23/1988,,"Word Work File D 2030, 1 | Speeches-JJDS3a-jjd955.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0259,"UMF Commencement, 1",,"Duderstadt, James J.",,2015,12/20/1988,,Speeches-JJDS3a-jjd956.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0260,"UMF Dedication, 1",,"Duderstadt, James J.",,2015,10/16/1988,,Speeches-JJDS3a-jjd957.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0261,"Volunteer Leadership, 1",,"Duderstadt, James J.",,2015,10/2/1988,,Speeches-JJDS3a-jjd958.pdf,,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0262,Alumni Talks--Summer 1989,,"Duderstadt, James J.",,2015,1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd839.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0263,Alumni-March-89,,"Duderstadt, James J.",,2015,3/13/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd840.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0264,"Basketball Bust -- March 28, 1989",,"Duderstadt, James J.",,2015,3/26/1989,,"Basketball Bust -- March 28, 19 | Speeches-JJDS3b-jjd843.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0265,Caltech-1989,,"Duderstadt, James J.",,2015,5/27/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd848.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0266,Case Statement,,"Duderstadt, James J.",,2015,3/25/1989,,"Word Work File D 2030, 1 | Speeches-JJDS3b-jjd850.pdf",Original version | Access and preservation version,Office Documents,Collection is open for research.,12/7/2015,Copyright has been transferred to the Regents of the University of Michigan.,en_US
