dates	handle	title	authors	publisher	dateAdded	bitCount
2006/04-2015/10	2027.42/88591	Demographics 	Duderstadt, James J. 		2011-12-23T16:43:53Z 	1
2006/04-2015/10	2027.42/86140	Derivation of Kinetic Equations from the Generalized Langevin Equation 	Akcasu, A. Ziya ; Duderstadt, James J. 	American Physical Society 	2011-09-02T18:54:15Z 	1
2006/04-2015/10	2027.42/88592	Detroit Economics Club 1.1 	Duderstadt, James J. 		2011-12-23T16:43:55Z 	1
2006/04-2015/10	2027.42/88593	Development 	Duderstadt, James J. 		2011-12-23T16:43:56Z 	1
2006/04-2015/10	2027.42/88594	Development 	Duderstadt, James J. 		2011-12-23T16:43:58Z 	1
2006/04-2015/10	2027.42/88595	Development Advisory Group 	Duderstadt, James J. 		2011-12-23T16:44:00Z 	1
2006/04-2015/10	2027.42/88596	Digital Librarians 	Duderstadt, James J. 		2011-12-23T16:44:01Z 	1
2006/04-2015/10	2027.42/88598	Diversity 	Duderstadt, James J. 		2011-12-23T16:44:03Z 	1
2006/04-2015/10	2027.42/88602	Diversity Dinner 	Duderstadt, James J. 		2011-12-23T16:44:08Z 	1
2006/04-2015/10	2027.42/88603	Diversity Draft 	Duderstadt, James J. 		2011-12-23T16:44:09Z 	1
2006/04-2015/10	2027.42/88609	Diversity Notes 	Duderstadt, James J. 		2011-12-23T16:44:19Z 	1
2006/04-2015/10	2027.42/88610	Diversity Speech 	Duderstadt, James J. 		2011-12-23T16:44:20Z 	1
2006/04-2015/10	2027.42/88599	Diversity and  Equity in College Sports: The Need for Change 	Duderstadt, James J. 		2011-12-23T16:44:05Z 	1
2006/04-2015/10	2027.42/88600	Diversity and  Equity in College Sports: The Need for Change - MSU 	Duderstadt, James J. 		2011-12-23T16:44:06Z 	1
2006/04-2015/10	2027.42/79556	Diversity and Excellence 	Office of the President, University of Michigan 		2011-02-04T19:06:17Z 	1
2006/04-2015/10	2027.42/79558	Diversity at the University of Michigan 	Office of the President, University of Michigan 		2011-02-04T19:06:25Z 	1
2006/04-2015/10	2027.42/88601	Diversity at the University of Michigan 	Duderstadt, James J. 	Office of the President 	2011-12-23T16:44:07Z 	1
2006/04-2015/10	2027.42/88604	Diversity in Higher Education 	Duderstadt, James J. 		2011-12-23T16:44:10Z 	1
2006/04-2015/10	2027.42/88605	Diversity in Higher Education 	Duderstadt, James J. 		2011-12-23T16:44:11Z 	1
2006/04-2015/10	2027.42/88606	Diversity in the Science and Engineering Before and After Michigan Cases: Do We Need a New Paradigm? 	Duderstadt, James J. 		2011-12-23T16:44:12Z 	1
2006/04-2015/10	2027.42/88607	Diversity in the Science and Engineering Community: Life after the Michigan Cases 	Duderstadt, James J. 		2011-12-23T16:44:13Z 	1
2006/04-2015/10	2027.42/88611	Doctoral Pipeline Issue 	Duderstadt, James J. 		2011-12-23T16:44:21Z 	1
2006/04-2015/10	2027.42/88612	Duderstadt e-mail 	Duderstadt, James J. 		2011-12-23T16:44:23Z 	1
2006/04-2015/10	2027.42/88616	EDARPA: An Education Advanced Research Projects Agency A New Mechanism for Federal Support of Research on Learning and Education 	Duderstadt, James J. 		2011-12-23T16:44:29Z 	1
2006/04-2015/10	2027.42/88623	EDUCOM Panel 	Duderstadt, James J. 		2011-12-23T16:44:43Z 	1
2006/04-2015/10	2027.42/88624	EDUCOM Panel Intro 	Duderstadt, James J. 		2011-12-23T16:44:45Z 	1
2006/04-2015/10	2027.42/88625	EDUCOM Press 	Duderstadt, James J. 		2011-12-23T16:44:46Z 	1
2006/04-2015/10	2027.42/88626	EDUCOM Welcome 	Duderstadt, James J. 		2011-12-23T16:44:47Z 	1
2006/04-2015/10	2027.42/88658	EO Retreat 	Duderstadt, James J. 		2011-12-23T16:45:47Z 	1
2006/04-2015/10	2027.42/88659	EO Retreat 	Duderstadt, James J. 		2011-12-23T16:45:49Z 	1
2006/04-2015/10	2027.42/88660	EO Retreat (Fall-91) 	Duderstadt, James J. 		2011-12-23T16:45:50Z 	1
2006/04-2015/10	2027.42/88661	EO Retreat-93 	Duderstadt, James J. 		2011-12-23T16:45:52Z 	1
2006/04-2015/10	2027.42/88662	EO Salaries 	Duderstadt, James J. 		2011-12-23T16:45:53Z 	1
2006/04-2015/10	2027.42/88663	EO Strategic Update 	Duderstadt, James J. 		2011-12-23T16:45:54Z 	1
2006/04-2015/10	2027.42/88664	EO Strategic Update 	Duderstadt, James J. 		2011-12-23T16:45:55Z 	1
2006/04-2015/10	2027.42/88666	EO-SACUA-Student Retreat 	Duderstadt, James J. 		2011-12-23T16:45:58Z 	1
2006/04-2015/10	2027.42/88672	EVPHA Presentation 	Duderstadt, James J. 		2011-12-23T16:46:06Z 	1
2006/04-2015/10	2027.42/88613	Economic Dinner Group 1.1 	Duderstadt, James J. 		2011-12-23T16:44:25Z 	1
2006/04-2015/10	2027.42/88614	Economic Strategy 2.0 	Duderstadt, James J. 		2011-12-23T16:44:27Z 	1
2006/04-2015/10	2027.42/88615	Economics Dinner Group 	Duderstadt, James J. 		2011-12-23T16:44:28Z 	1
2006/04-2015/10	2027.42/88617	Educating for Change 	Duderstadt, James J. 		2011-12-23T16:44:31Z 	1
2006/04-2015/10	2027.42/88618	Education 	Duderstadt, James J. 		2011-12-23T16:44:33Z 	1
2006/04-2015/10	2027.42/88620	Education 1.0 	Duderstadt, James J. 		2011-12-23T16:44:37Z 	1
2006/04-2015/10	2027.42/88621	Education 1.3 	Duderstadt, James J. 		2011-12-23T16:44:39Z 	1
2006/04-2015/10	2027.42/88622	Education Notes 	Duderstadt, James J. 		2011-12-23T16:44:41Z 	1
2006/04-2015/10	2027.42/88627	Emerging Economies 	Duderstadt, James J. 		2011-12-23T16:44:48Z 	1
2006/04-2015/10	2027.42/88629	Energy Discovery-Innovation Institutes: A Step Toward America's Energy Sustainability 	Duderstadt, James J. ; Was, Gary ; McGrath, Robert ; Muro, Mark ; Corradini, Michael ; Katehi, Linda ; Shangraw, Rick ; Sarzynski, Andrea 	Metropolitan Policy Program 	2011-12-23T16:44:57Z 	1
