IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,DC.TITLE.FILENAME ,RELATIVE_PATH,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0001_0703,"Digital Documents - University of Michigan Presidency, 1986-1997 - Position Papers - 1996-1997 Position Papers - Columbia Symposium",,"Duderstadt, James J.",,undated,2015,undated,Columbia Symposium,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Position Papers_\1996-1997 Position Papers\Columbia Symposium",Original version: Microsoft Word Document,Office Documents,"[ER Restricted until July 1, 2030]",2030-07-01,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0704,"Digital Documents - University of Michigan Presidency, 1986-1997 - Position Papers - 1996-1997 Position Papers - Honors Convocation",,"Duderstadt, James J.",,undated,2015,undated,Honors Convocation,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Position Papers_\1996-1997 Position Papers\Honors Convocation",Original version: Microsoft Word Document,Office Documents,"[ER Restricted until July 1, 2030]",2030-07-01,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0705,"Digital Documents - University of Michigan Presidency, 1986-1997 - Position Papers - 1996-1997 Position Papers - NSB-UC-Davis",,"Duderstadt, James J.",,undated,2015,undated,NSB-UC-Davis,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Position Papers_\1996-1997 Position Papers\NSB-UC-Davis",Original version: Microsoft Word Document,Office Documents,"[ER Restricted until July 1, 2030]",2030-07-01,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0706,"Digital Documents - University of Michigan Presidency, 1986-1997 - Position Papers - 1996-1997 Position Papers - Operating Manual 1.1",,"Duderstadt, James J.",,undated,2015,undated,Operating Manual 1.1,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Position Papers_\1996-1997 Position Papers\Operating Manual 1.1",Original version: Microsoft Word Document,Office Documents,"[ER Restricted until July 1, 2030]",2030-07-01,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0707,"Digital Documents - University of Michigan Presidency, 1986-1997 - Position Papers - 1996-1997 Position Papers - Rackham-edited",,"Duderstadt, James J.",,undated,2015,undated,Rackham-edited,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Position Papers_\1996-1997 Position Papers\Rackham-edited",Original version: Microsoft Word Document,Office Documents,"[ER Restricted until July 1, 2030]",2030-07-01,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0708,"Digital Documents - University of Michigan Presidency, 1986-1997 - Position Papers - 1996-1997 Position Papers - Research U Speech-MSU 1-23-96",,"Duderstadt, James J.",,undated,2015,undated,Research U Speech-MSU 1-23-96,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Position Papers_\1996-1997 Position Papers\Research U Speech-MSU 1-23-96",Original version: Microsoft Word Document,Office Documents,"[ER Restricted until July 1, 2030]",2030-07-01,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0709,"Digital Documents - University of Michigan Presidency, 1986-1997 - Position Papers - 1996-1997 Position Papers - The Road Ahead",,"Duderstadt, James J.",,undated,2015,undated,The Road Ahead,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Position Papers_\1996-1997 Position Papers\The Road Ahead",Original version: Microsoft Word Document,Office Documents,"[ER Restricted until July 1, 2030]",2030-07-01,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0710,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1994-1995 Presentations - EVPHA Presentation",,"Duderstadt, James J.",,1994-11-20 00:00:00,2015,1994-11-20 00:00:00,EVPHA Presentation | jjd535.pdf | jjd535_bhl-a65c34b3.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\ 1994-1995 Presentations\EVPHA Presentation | \9811_0001\data\Presentations\JJDPR\jjd535.pdf | \converted_files\Presentations-JJDPR-jjd535_bhl-a65c34b3.pdf",Original version: Microsoft Powerpoint Presentation | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0711,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1994-1995 Presentations - Transformation Course",,"Duderstadt, James J.",,1994-01-07 00:00:00,2015,1994-01-07 00:00:00,Transformation Course | jjd536.pdf | jjd536_bhl-2b1bedd4.pdf,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\ 1994-1995 Presentations\Transformation Course | \9811_0001\data\Presentations\JJDPR\jjd536.pdf | \converted_files\Presentations-JJDPR-jjd536_bhl-2b1bedd4.pdf",Original version: OLE2 Compound Document Format | Preservation version | Subsequent preservation version,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0712,"Digital Documents - University of Michigan Presidency, 1986-1997 - Presentations - 1987-1988 Presentations - Academic Affairs-1_88",,"Duderstadt, James J.",,undated,2015,undated,Academic Affairs-1_88,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Presentations\1987-1988 Presentations\Academic Affairs-1_88",Original version: Microsoft Powerpoint Presentation,Presentation,Collection is open for research.,2015-12-17,Copyright has been transferred to the Regents of the University of Michigan.,en
