IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,RELATIVE_PATH,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0001_0800,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Links-Problems",,"Duderstadt, James J.",,3/7/1989 0:00,2015,3/7/1989 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1989-1990 Strategy\Links-Problems | \9811_0001\data\Strategy\JJDST1\jjd1603.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0802,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - SPT-Issues",,"Duderstadt, James J.",,2/22/1989 0:00,2015,2/22/1989 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1989-1990 Strategy\SPT-Issues | \9811_0001\data\Strategy\JJDST1\jjd1605.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0803,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - SPT-Opportunities",,"Duderstadt, James J.",,2/22/1989 0:00,2015,2/22/1989 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1989-1990 Strategy\SPT-Opportunities | \9811_0001\data\Strategy\JJDST1\jjd1606.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0804,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Diversity Agenda",,"Duderstadt, James J.",,10/5/1990 0:00,2015,10/5/1990 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1990-1991 Strategy\Diversity Agenda | \9811_0001\data\Strategy\JJDST1\jjd1607.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0805,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Diversity Agenda 1.2",,"Duderstadt, James J.",,10/5/1990 0:00,2015,10/5/1990 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1990-1991 Strategy\Diversity Agenda 1.2 | \9811_0001\data\Strategy\JJDST1\jjd1608.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0806,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Goals and Values",,"Duderstadt, James J.",,10/5/1990 0:00,2015,10/5/1990 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1990-1991 Strategy\Goals and Values | \9811_0001\data\Strategy\JJDST1\jjd1609.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0807,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - OAA Summary   1987-88",,"Duderstadt, James J.",,10/5/1990 0:00,2015,10/5/1990 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1990-1991 Strategy\OAA Summary   1987-88 | \9811_0001\data\Strategy\JJDST1\jjd1610.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0808,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Obj  Pri",,"Duderstadt, James J.",,10/5/1990 0:00,2015,10/5/1990 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1990-1991 Strategy\Obj  Pri | \9811_0001\data\Strategy\JJDST1\jjd1611.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0809,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - Strategic Plan 1.2",,"Duderstadt, James J.",,10/5/1990 0:00,2015,10/5/1990 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1990-1991 Strategy\Strategic Plan 1.2 | \9811_0001\data\Strategy\JJDST1\jjd1612.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
9811_0001_0810,"Digital Documents - University of Michigan Presidency, 1986-1997 - Strategy - 1986-1997 - UG Initiative",,"Duderstadt, James J.",,10/5/1990 0:00,2015,10/5/1990 0:00,"\9811_0001\data\original-records\duderstadt, j_\Electronic Documentation_\Strategy_\1990-1991 Strategy\UG Initiative | \9811_0001\data\Strategy\JJDST1\jjd1613.doc",Original version: Original format not identified | Preservation version,Office Documents,"[ER Restricted until July 1, 2030]",7/1/2030,Copyright has been transferred to the Regents of the University of Michigan.,en
