alumID,type,addressID
2624,business,208
1044,business,209
2227,birth,210
727,business,211
1124,home,212
2069,home,212
2069,business,212
2622,business,213
2240,home,214
2410,home,214
2410,business,214
1558,birth,215
1359,home,216
1833,home,216
1872,home,216
1877,home,216
1767,birth,217
1767,home,217
793,birth,218
793,home,218
1598,home,218
2350,home,218
793,business,218
1410,business,218
1152,business,219
1292,home,220
1092,birth,221
2256,birth,221
1095,home,221
1258,home,221
1425,home,221
1558,home,221
1626,home,221
1929,home,221
2231,home,221
2197,home,221
2472,home,221
2585,home,221
2634,home,221
2649,home,221
2881,home,221
2901,home,221
2986,home,221
2989,home,221
346,business,221
980,business,221
1095,business,221
1258,business,221
1360,business,221
1425,business,221
1626,business,221
1926,business,221
2091,business,221
2145,business,221
2231,business,221
2585,business,221
2634,business,221
2649,business,221
996,business,222
50,business,223
2313,birth,224
125,business,225
2916,business,226
1598,business,227
1938,birth,228
1938,home,229
1938,business,229
1922,home,230
1922,business,230
445,birth,231
589,home,232
589,business,232
940,birth,233
940,home,233
2666,business,233
1217,business,234
1926,home,235
175,home,236
175,business,236
854,business,236
103,business,237
127,birth,238
1647,birth,239
2741,home,240
2694,birth,241
1567,home,242
765,home,243
2643,birth,243
2007,home,243
2628,home,243
597,business,243
765,business,243
2628,business,243
1073,home,243
1742,birth,244
1881,birth,245
2241,birth,245
1840,birth,246
1840,home,246
544,business,247
2491,birth,248
1461,birth,249
1335,birth,250
1335,home,250
1335,business,250
2834,home,251
867,home,251
1492,home,251
450,business,251
867,business,251
1655,home,252
1655,business,252
2482,business,252
1764,home,253
2028,birth,254
1943,birth,255
1943,home,255
983,home,256
983,business,256
2628,birth,257
1955,birth,258
1955,home,258
417,birth,259
417,home,259
2333,home,260
2584,birth,2072
2593,birth,261
808,home,262
2640,home,262
808,business,262
1128,business,262
728,birth,263
1228,birth,263
2378,birth,263
2436,birth,263
213,home,263
332,home,263
348,home,263
544,home,263
583,home,263
721,home,263
729,home,263
889,home,263
921,home,263
936,home,263
1135,home,263
1272,home,263
1304,home,263
1337,home,263
1389,home,263
1399,home,263
1444,home,263
1562,home,263
1648,home,263
1849,home,263
1973,home,263
2222,home,263
2241,home,263
2419,home,263
2436,home,263
2452,home,263
2475,home,263
2551,home,263
2695,home,263
2948,home,263
213,business,263
332,business,263
348,business,263
583,business,263
721,business,263
729,business,263
777,business,263
921,business,263
944,business,263
1066,business,263
1103,business,263
1135,business,263
1389,business,263
1766,business,263
1767,business,263
1849,business,263
1998,business,263
2222,business,263
2241,business,263
2436,business,263
2452,business,263
2551,business,263
2695,business,263
2269,home,264
2269,business,264
1064,birth,265
2057,home,266
1974,home,267
1823,home,268
395,business,269
767,business,270
2795,home,271
426,business,271
2645,business,271
672,birth,272
2082,business,273
944,home,274
2255,home,275
1125,birth,276
1707,home,276
2589,home,276
2385,business,276
2833,business,276
2004,business,277
2889,home,278
444,business,278
2889,business,278
2941,home,279
1917,birth,280
2544,business,280
372,home,281
1121,home,281
136,business,281
2275,business,281
2442,business,282
2299,home,283
1121,birth,284
1519,home,285
2926,birth,286
595,home,286
595,business,286
2207,home,287
652,business,288
994,birth,289
995,birth,289
2864,home,290
1021,birth,290
3033,home,291
215,business,291
883,business,291
2387,business,292
52,birth,2078
2070,business,293
1044,home,294
933,business,294
394,birth,295
394,home,295
1135,birth,296
885,birth,2079
1210,birth,297
1210,home,297
1205,birth,298
1065,birth,299
1011,business,300
2867,business,301
780,home,302
2249,home,302
2627,home,302
2970,home,302
780,business,302
2249,business,302
39,birth,303
1332,home,303
2346,home,303
394,business,303
1522,business,303
2346,business,303
2767,business,303
2722,birth,304
2077,birth,305
2416,birth,306
945,birth,307
2428,business,308
1625,birth,309
1113,birth,310
144,birth,310
270,home,310
145,business,310
270,business,310
1329,birth,311
2862,birth,312
2452,birth,313
87,birth,314
560,birth,314
1723,birth,314
970,home,314
1656,home,314
1957,home,314
2077,home,314
2239,home,314
2356,home,314
2532,home,314
2722,home,314
970,business,314
1957,business,314
2722,business,314
57,business,314
1482,birth,315
1743,birth,315
2009,birth,315
2207,birth,315
2539,birth,315
1482,home,315
1482,business,315
2059,birth,316
45,birth,317
1966,business,317
319,birth,318
1170,business,319
1011,home,320
2907,birth,321
1761,birth,322
1065,business,323
872,birth,324
1065,home,325
2245,birth,326
2368,birth,326
2368,home,326
2193,business,326
1737,birth,327
529,home,328
529,business,328
702,home,329
945,home,330
1641,home,330
1972,business,331
688,birth,332
1292,birth,333
1593,birth,334
1170,birth,335
3036,birth,336
2954,birth,337
2167,birth,338
1567,birth,339
1971,birth,340
1972,birth,340
1972,home,340
536,birth,2080
1491,birth,341
325,birth,342
2414,birth,343
2414,home,343
2414,business,343
2867,birth,344
2867,home,344
2734,home,345
2734,business,345
820,birth,346
2581,birth,347
469,birth,348
2627,business,349
255,birth,350
593,home,350
2141,home,350
593,business,350
2141,business,350
2477,birth,351
10,birth,352
2193,birth,353
2193,home,353
474,birth,354
1934,birth,354
2071,birth,354
1212,home,354
1934,home,354
90,business,354
1934,business,354
1971,home,355
2613,birth,356
933,birth,357
1798,birth,357
1721,birth,358
700,home,359
700,business,359
1804,birth,360
1804,home,360
3024,birth,361
2627,birth,362
2932,birth,363
696,birth,364
1682,birth,365
1498,birth,366
1559,birth,367
1596,birth,367
2249,birth,367
2670,birth,367
1449,birth,367
1981,birth,368
1981,home,368
1078,home,369
1078,business,369
2719,home,370
2719,business,370
1058,birth,371
1054,business,372
1216,home,373
1216,business,373
1746,birth,374
2729,home,375
2729,business,375
2730,home,375
342,birth,376
2675,birth,376
864,birth,377
1012,home,377
1401,home,377
1782,home,377
1012,business,377
1782,business,377
1401,business,378
2494,business,379
1089,home,380
1089,business,380
1046,birth,381
1046,home,381
437,birth,382
1231,birth,383
2476,birth,383
2744,birth,383
2911,birth,383
1231,home,383
1403,home,383
1523,home,383
2653,home,383
2911,home,383
2911,business,383
2841,business,384
544,birth,385
866,birth,385
2684,birth,385
2983,birth,385
2641,birth,386
53,birth,387
1545,birth,388
1332,birth,389
1333,birth,389
2174,birth,389
2298,birth,389
2705,birth,389
2705,home,389
2992,home,389
2997,home,389
1163,business,389
1163,birth,390
1163,home,390
1071,birth,391
2729,birth,392
2730,birth,392
700,birth,393
258,birth,394
284,birth,394
554,birth,395
796,birth,395
2894,birth,396
625,birth,397
975,birth,398
2667,birth,399
1327,birth,400
1327,home,400
2330,birth,401
98,birth,401
165,birth,401
173,birth,401
180,birth,401
192,birth,401
194,birth,401
220,birth,401
274,birth,401
525,birth,401
645,birth,401
758,birth,401
855,birth,401
880,birth,401
906,birth,401
929,birth,401
1020,birth,401
1161,birth,401
1200,birth,401
1225,birth,401
1497,birth,401
1607,birth,401
1609,birth,401
1660,birth,401
1747,birth,401
1775,birth,401
1797,birth,401
1936,birth,401
1995,birth,401
2159,birth,401
2201,birth,401
2229,birth,401
2235,birth,401
2280,birth,401
2351,birth,401
2442,birth,401
2511,birth,401
2550,birth,401
2573,birth,401
2590,birth,401
2603,birth,401
2604,birth,401
2607,birth,401
2609,birth,401
2611,birth,401
2676,birth,401
2727,birth,401
2781,birth,401
2806,birth,401
2827,birth,401
2836,birth,401
2837,birth,401
2962,birth,401
2968,birth,401
2974,birth,401
2980,birth,401
3040,birth,401
3,home,401
159,home,401
192,home,401
242,home,401
258,home,401
324,home,401
357,home,401
433,home,401
525,home,401
607,home,401
645,home,401
650,home,401
751,home,401
726,home,401
753,home,401
810,home,401
846,home,401
855,home,401
880,home,401
896,home,401
901,home,401
929,home,401
1028,home,401
1050,home,401
1075,home,401
1138,home,401
1170,home,401
1178,home,401
1421,home,401
1466,home,401
1553,home,401
1588,home,401
1601,home,401
1607,home,401
1609,home,401
1775,home,401
1683,home,401
1689,home,401
1737,home,401
1853,home,401
1876,home,401
1896,home,401
1906,home,401
1915,home,401
1924,home,401
1946,home,401
1961,home,401
2073,home,401
2074,home,401
2108,home,401
2206,home,401
2216,home,401
2280,home,401
2330,home,401
2351,home,401
2371,home,401
2454,home,401
2462,home,401
2509,home,401
2539,home,401
2582,home,401
2587,home,401
2609,home,401
2620,home,401
2647,home,401
2662,home,401
2670,home,401
2718,home,401
2737,home,401
2758,home,401
2780,home,401
2806,home,401
2890,home,401
2917,home,401
2942,home,401
2958,home,401
2974,home,401
3029,home,401
3040,home,401
12,business,401
42,business,401
63,business,401
107,business,401
158,business,401
160,business,401
162,business,401
192,business,401
242,business,401
258,business,401
324,business,401
433,business,401
469,business,401
525,business,401
607,business,401
645,business,401
650,business,401
751,business,401
692,business,401
726,business,401
753,business,401
810,business,401
880,business,401
929,business,401
941,business,401
1028,business,401
1075,business,401
1178,business,401
1200,business,401
1206,business,401
1271,business,401
1295,business,401
1419,business,401
1448,business,401
1553,business,401
1557,business,401
1601,business,401
1607,business,401
1609,business,401
1811,business,401
1683,business,401
1685,business,401
1737,business,401
1853,business,401
1896,business,401
1915,business,401
1946,business,401
1961,business,401
2050,business,401
2086,business,401
2108,business,401
2204,business,401
2206,business,401
2257,business,401
2280,business,401
2330,business,401
2454,business,401
2487,business,401
2582,business,401
2662,business,401
2670,business,401
2718,business,401
2737,business,401
2744,business,401
2758,business,401
2817,business,401
2890,business,401
2958,business,401
2992,business,401
3040,business,401
1123,birth,401
2539,business,401
1944,home,402
1966,home,403
1717,birth,404
1844,birth,405
1419,birth,406
242,birth,407
433,birth,407
2811,birth,407
2811,home,407
586,birth,408
2356,birth,408
2423,birth,408
1801,home,408
171,business,408
1801,business,408
2052,business,408
2897,home,409
2897,business,409
1448,birth,410
852,birth,411
1964,home,412
2789,birth,413
933,home,413
1245,birth,414
689,home,414
1245,home,414
1464,home,414
2721,home,414
2721,business,414
1029,home,415
376,birth,415
420,birth,415
762,birth,415
800,home,415
1419,home,415
1448,home,415
2702,home,415
2781,home,415
2808,home,415
528,business,415
813,business,415
2389,business,415
2611,business,415
2781,business,415
1352,birth,416
620,birth,417
2790,home,418
1278,business,418
973,birth,419
1214,birth,419
2259,birth,420
164,birth,421
164,home,421
963,home,422
1657,home,422
2201,home,422
2533,home,422
963,business,422
2201,business,422
2533,business,422
1094,home,423
422,birth,424
1278,birth,425
1278,home,425
165,home,426
2511,home,426
165,business,426
42,birth,427
2520,birth,428
288,home,428
288,business,428
1571,birth,429
1571,home,429
1020,home,430
1838,birth,431
916,birth,432
1750,home,432
2744,home,432
2899,home,432
2113,home,433
2789,home,444
1962,birth,445
1962,home,445
1962,business,445
1507,birth,446
244,birth,447
841,birth,448
2155,birth,448
1869,home,448
1869,business,448
2619,business,448
2898,business,448
182,birth,449
2739,birth,450
699,birth,451
1468,birth,451
2220,home,451
2080,business,451
726,birth,452
536,home,452
536,business,452
1074,home,453
1009,birth,454
2874,birth,455
1094,birth,456
3000,birth,457
814,home,457
1200,home,457
2891,birth,458
2140,birth,459
384,birth,2066
385,birth,2066
1421,birth,2067
1423,birth,2067
1872,birth,2068
5,business,2069
1234,birth,2070
1859,birth,2071
256,birth,2104
1793,home,2073
231,home,2074
159,business,2074
231,business,2074
1460,business,2074
2028,business,2074
2367,business,2074
3,birth,2075
1033,birth,460
1306,birth,461
1403,birth,461
1183,birth,462
1375,birth,462
1406,birth,462
1830,birth,462
2849,birth,462
1406,home,462
1830,home,462
